entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,2718060,MN,LeRoy-Ostrander Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2718070,MN,Le Sueur-Henderson School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718090,MN,Lewiston-Altura Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718210,MN,Litchfield Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718240,MN,Little Falls Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718270,MN,Littlefork-Big Falls School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718330,MN,Luverne Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718360,MN,Lyle Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718390,MN,Lynd Public School District,elementary_school_district,2025,researchable,not_researched,,
school_district,2718540,MN,Mabel-Canton Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718570,MN,Madelia Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718660,MN,Mahnomen Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718750,MN,Mahtomedi Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718780,MN,Mankato Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718810,MN,Maple Lake Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718920,MN,Grygla Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718940,MN,Marshall Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2718960,MN,Martin County West School District,unified_school_district,2025,researchable,not_researched,,
school_district,2719170,MN,McGregor Public School District,unified_school_district,2025,researchable,not_researched,,
school_district,2719320,MN,Medford Public School District,unified_school_district,2025,researchable,not_researched,,
